objectid,cross2,notes,orderid,title,description,creator,location,date,dateCreated:start,dateCreated:end,type,content_type,format,subject,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filename,customtext:LCHSObjectID,rights,location:placename/en2,locationCreated:placename,display_template,object_location,image_small,image_thumb
01-02-269,01-02-269,,,City Workers Decorating Main Street,Two city workers are in a truck lift decorating the light poles on the side of Main Street.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Decoration; City Workers; Christmas; Downtown; Idaho,Main Street,Decoration,City Workers,Christmas,Downtown,Idaho,01-02-269.jpg,01-02-269,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-269.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-269_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-269_th.jpg
01-02-270,01-02-270,,,Main Street Repair,Two city workers are repairing holes in the middle of Main Street with asphalt and a tractor.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; City Employees; Street Repair; Asphalt; Tractor; Idaho,Main Street,City Employees,Street Repair,Asphalt,Tractor,Idaho,01-02-270.jpg,01-02-270,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-270.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-270_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-270_th.jpg
01-02-271,01-02-271,,,3rd and Main Street in the Sunshine,"The Main Street and 3rd Street intersecturing during the day, showing a bank, drugstore, H&R Block, and the Moscow Hotel.",,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Drug Store; Moscow Hotel; H&R Block; Hodgins; Idaho,Main Street,Drugstore,Moscow Hotel,H&R Block,Hodgins,Idaho,01-02-271.jpg,01-02-271,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-271.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-271_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-271_th.jpg
01-02-272,01-02-272,,,Parking Lot,The Jackson Street parking lot placed on the backside of the Main Street shops.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Parking Lot; Jackson Street; Chevrolet; Parking Meters; Idaho,Main Street,Parking Lot,Jackson Street,Chevrolet,Parking Meters,Idaho,01-02-272.jpg,01-02-272,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-272.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-272_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-272_th.jpg
01-02-274,01-02-274,,,Farmer's Market on Main Street,Patty Gemberling Manning at the 1912 Center's table during the Farmer's Market on Main Street.,,"Moscow, Idaho",2000-05-20,2000-05-20,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Farmer's Market; 1912 Center; Patty Gemberling; Downtown; Idaho,Main Street,Farmer's Market,1912 Center,Patty Gemberling,Downtown,Idaho,01-02-274.jpg,01-02-274,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-274.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-274_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-274_th.jpg
01-02-275,01-02-275,,,Old Town Main Street,"A stereoptican image of Main Street showing a mud street, horse drawn wagon, and David & Ely store sign.",,"Moscow, Idaho",1890,1890,1910,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Stereoptican; David & Ely; Horse Drawn Carriage; Downtown; Idaho,Main Street,Stereoptican,David & Ely,Horse Drawn Carriage,Downtown,Idaho,01-02-275.jpg,01-02-275,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-275.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-275_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-275_th.jpg
01-02-276,01-02-276,,,Installation of Sewer Lines on Highway 95 Couplet,A newspaper article image shows city workers are diggling large holes on the Highway 95 couplet at Sweet Avenue to install sewer lines for the neighborhood.,,"Moscow, Idaho",2000-04-19,2000-04-19,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Sewer Lines; Highway 95; Sweet Street; Construction; Idaho,Main Street,Sewer Lines,Highway 95,Sweet Street,Construction,Idaho,01-02-276.jpg,01-02-276,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-276.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-276_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-276_th.jpg
01-02-277,01-02-277,,,Chalk Drawing in Friendship Square,"A chalk drawing in Friendship Square protesting an Aryan Nation March days before, saying ""Help defend Idaho against Fascism"" written by Krystyl Evans and Levi Laird and a daughter of Kayle Sterling at play.",,"Moscow, Idaho",1997-07-10,1997-07-10,1997-07-11,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Fascism; Aryan Nation March; Protest; Friendship Square; Idaho,Main Street,Fascism,Aryan Nation March,Protest,Friendship Square,Idaho,01-02-277.jpg,01-02-277,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-277.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-277_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-277_th.jpg
01-02-278,01-02-278,,,Highway Construction,A large hole on Highway 95 as city workers construct a new couplet in this area to eliminate sharp turns within this area.,,"Moscow, Idaho",1999-10-15,1999-10-15,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Construction; City Workers; Highway 95; Couplet; Idaho,Main Street,Construction,City Workers,Highway 95,Couplet,Idaho,01-02-278.jpg,01-02-278,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-278.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-278_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-278_th.jpg
01-02-279,01-02-279,,,Gart Sports,A Gart Sports Store situated on the corner of 5th Street and Washington Street with an empty parking lot.,,"Moscow, Idaho",2000-07,2000-07,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Gart Sports; 5th Street; Washington Street; Downtown; Idaho,Main Street,Gart Sports,5th Street,Washington Street,Downtown,Idaho,01-02-279.jpg,01-02-279,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-279.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-279_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-279_th.jpg
01-02-280,01-02-280,,,Setting Up of the Main Street Christmas Tree,The set up of the Christmas Tree on Main Street with Carter's Drugs in the background.,,"Moscow, Idaho",1950,1950,1960,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Carter's Drugs; 3rd Street; 4th Street; Christmas Tree; Idaho,Main Street,Carter's Drugs,3rd Street ,4th Street,Christmas Tree,Idaho,01-02-280.jpg,01-02-280,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-280.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-280_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-280_th.jpg
01-02-281,01-02-281,,,Community Christmas Tree,A city crane is assisting city employees in the erection of the community Christmas Tree in front of Scott's Flowers & Gifts at the corner of Main Street and 4th Street.,,"Moscow, Idaho",1950,1950,1960,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Scott's Flowers; 4th Street; Christmas Tree; Crane; Idaho,Main Street,Scott's Flowers,4th Street,Christmas Tree,Crane,Idaho,01-02-281.jpg,01-02-281,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-281.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-281_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-281_th.jpg
01-02-282,01-02-282,,,Palouse Mall Sign,"A newspaper clipping showing an image of the Palouse Mall sign surrounded by trees, connected to an article about how the mall is looking to remove trees around the sign so it could be seen, which is being met with resistence.",,"Moscow, Idaho",2000-05-23,2000-05-23,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Palouse Mall; Tree Removal; Daily News; Zoning Commission; Idaho,Main Street,Palouse Mall,Tree Removal,Daily News,Zoning Commission,Idaho,01-02-282.jpg,01-02-282,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-282.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-282_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-282_th.jpg
01-02-283,01-02-283,,,2nd and Main Street,"The intersection and south east corner of Main and 2nd Street, showing R B Ward Paint & Hardware Co., J. C. Penney and the Owl Drug store on the corner.",,"Moscow, Idaho",1930,1930,1940,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 2nd Street; Owl Drug Store; Rexall; JC Penney; Idaho,Main Street,2nd Street,Owl Drug Store,Rexall,JC Penney,Idaho,01-02-283.jpg,01-02-283,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-283.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-283_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-283_th.jpg
01-02-284,01-02-284,,,Corner of Main Street and 4th Street,"The east side of Main Street and 4th Street, showing David's Dept Store, Scott's Flowers & Gifts, and The Parisian.",,"Moscow, Idaho",1930,1930,1940,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 4th Street; Scott's Flowers; The Parisian; Carter's Drugs; Idaho,Main Street,4th Street,Scott's Flowers,The Parisian,Carter's Drugs,Idaho,01-02-284.jpg,01-02-284,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-284.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-284_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-284_th.jpg
01-02-285,01-02-285,,,Corner of Third and Main,A GMC truck turning onto Main Street from 3rd Street near the bank.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 3rd Street; Banks; Intersection; Downtown; Idaho,Main Street,3rd Street,Bank,Intersection,Downtown,Idaho,01-02-285.jpg,01-02-285,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-285.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-285_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-285_th.jpg
01-02-286,01-02-286,,,Candle Christmas Decorations,A city worker is setting up candle Christmas decorations on Main Street.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Christmas; Candle Decoration; Holiday; Downtown; Idaho,Main Street,Christmas,Candle Decoration,Holiday,Downtown,Idaho,01-02-286.jpg,01-02-286,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-286.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-286_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-286_th.jpg
01-02-287,01-02-287,,,Bicyclist on Main Street,A bicyclist rides across a busy Main Street.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Bicyclist; Peck's; Chamber of Commerce; Downtown; Idaho,Main Street,Bicyclist,Peck's,Chamber of Commerce,Downtown,Idaho,01-02-287.jpg,01-02-287,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-287.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-287_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-287_th.jpg
01-02-288,01-02-288,,,Moscow's Free Parking Plaza,A free parking plaza in the middle of downtown with a Ford Mustang and several Ford trucks and campers.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Parking Plaza; Ford Mustang; Ford Truck; Camper; Idaho,Main Street,Parking Plaza,Ford Mustang,Ford Truck,Camper,Idaho,01-02-288.jpg,01-02-288,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-288.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-288_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-288_th.jpg
01-02-289,01-02-289,,,Putting Up Christmas Decorations,Two city employees putting up candle Christmas decorations with the Daily Idahonian in the background.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Christmas; Daily Idahonian; Decorations; Downtown; Idaho,Main Street,Christmas,Daily Idahonian,Decorations,Downtown,Idaho,01-02-289.jpg,01-02-289,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-289.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-289_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-289_th.jpg
01-02-290,01-02-290,,,Lamp Post Work,Two city employees are working on a lamp post on Main St with Darme Insurance in the distance.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Lamp Post; Darme Insurance; City Employees; Downtown; Idaho,Main Street,Lamp Post,Darme Insurance,City Employees,Downtown,Idaho,01-02-290.jpg,01-02-290,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-290.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-290_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-290_th.jpg
01-02-291,01-02-291,,,A Crowded Main Street,The East side of a crowded Main Street between 3rd Street and 4th Street in front of a drug store with Fonk's store on the right in the distance.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Drug Store; Crowds; Fonk's; Downtown; Idaho,Main Street,Drugstore,Crowds,Fonk's,Downtown,Idaho,01-02-291.jpg,01-02-291,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-291.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-291_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-291_th.jpg
01-02-292,01-02-292,,,Street Sale,A street sale on Main Street with numerous crowds and Brown's Furniture on the right.,,"Moscow, Idaho",1960,1960,1969,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Street Sale; Brown's Furniture; Women; Downtown; Idaho,Main Street,Street Sale,Brown's Furniture,Women,Downtown,Idaho,01-02-292.jpg,01-02-292,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-292.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-292_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-292_th.jpg
01-02-293,01-02-293,,,5th Street and Washington Street Intersection,The corner of 5th Street and Washington Street where Safeway Grocery Store and Clyde's Meats and Groceries is situated.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Washington Street; 5th Street; Safeway; Clyde's; Idaho,Main Street,Washington Street,5th Street,Safeway,Clyde's,Idaho,01-02-293.jpg,01-02-293,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-293.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-293_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-293_th.jpg
01-02-294,01-02-294,,,Kid's Play Area in Friendship Square,A wooden play structure placed in Friendship Square at 4th Street and Main Street by Moscow Hotel and the Garden Lounge with snow still on the ground.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Friendship Square; Kids; Garden Lounge; Snow; Idaho,Main Street,Friendship Square,Kids,Garden Lounge,Snow,Idaho,01-02-294.jpg,01-02-294,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-294.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-294_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-294_th.jpg
01-02-295,01-02-295,,,Two Police on Main Street,"Two police standing in the crosswalk on the Main Street and 3rd Street intersection looking south, with H&R Block and Hodgin's Drugs on the right.",,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; H&R Block; Hodgins Drug; Police; Fonk's; Idaho,Main Street,H&R Block,Hodgin's Drug,Police,Fonk's,Idaho,01-02-295.jpg,01-02-295,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-295.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-295_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-295_th.jpg
01-02-296,01-02-296,,,2nd Annual KRPL - Police Department Volleyball Game,The 2nd Annual KRPL-Police Department Volleyball Game during the Crazy Days celebration on Main Street.,,"Moscow, Idaho",1977,1977,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Crazy Days; Police; Volleyball Game; Downtown; Idaho,Main Street,Crazy Days,Police,Volleyball Game,Downtown,Idaho,01-02-296.jpg,01-02-296,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-296.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-296_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-296_th.jpg
01-02-297,01-02-297,,,Fonk's on Main Street,A bicyclist riding North on Main Street near the 5th Street intersection in front of Fonk's and the General Telephone Company.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 5th Street; Fonk's; General Telephone Company; Bicycles; Idaho,Main Street,5th Street,Fonk's,General Telephone Company,Bicycle,Idaho,01-02-297.jpg,01-02-297,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-297.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-297_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-297_th.jpg
01-02-298,01-02-298,,,West View of Main Street and Third Street,A west view of the Main Street and 3rd Street intersection with a view of the bank and stoplights.,,"Moscow, Idaho",1960,1960,1970,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 3rd Street; Intersection; Banks; Volkswagon; Idaho,Main Street,3rd Street,Intersection,Bank,Volkswagon,Idaho,01-02-298.jpg,01-02-298,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-298.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-298_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-298_th.jpg
01-02-299,01-02-299,,,Mayor Handel Putting Up Flags,Mayor Handel and another man standing on ladders near flags that were placed to decorate street poles for the 4th of July.,,"Moscow, Idaho",1970,1970,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 4th of July; Mayor; Flags; Fred Handel; Idaho,Main Street,4th of July,Mayor,Flags,Fred Handel,Idaho,01-02-299.jpg,01-02-299,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-299.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-299_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-299_th.jpg
01-02-300,01-02-300,,,University of Idaho Students and Christmas Tree,University of Idaho students are putting up the comunity Christmas Tree in front of Scott's Flowers & Gifts and Carter's Drugs.,,"Moscow, Idaho",1970,1970,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Christmas; Christmas Tree; Scott's Flowers; Carter's Drugs; Idaho,Main Street,Christmas,Christmas Tree,Scott's Flowers,Carter's Drugs,Idaho,01-02-300.jpg,01-02-300,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-300.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-300_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-300_th.jpg
01-02-301,01-02-301,,,Old Post Office on 3rd Street,The Old Post Office and parking lots situated on 3rd Street.,,"Moscow, Idaho",1970,1970,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Post Office; Parking; 3rd Street; Downtown; Idaho,Main Street,Post Office,Parking,3rd Street,Downtown,Idaho,01-02-301.jpg,01-02-301,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-301.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-301_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-301_th.jpg
01-02-302,01-02-302,,,Telephone Booth on 3rd Street,A General System phone booth on 3rd street in front of the Church of the Nazarene.,,"Moscow, Idaho",1970,1970,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Telephone Booth; 3rd Street; Church of the Nazarene; Downtown; Idaho,Main Street,Telephone Booth,3rd Street,Church of the Nazarene,Downtown,Idaho,01-02-302.jpg,01-02-302,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-302.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-302_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-302_th.jpg
01-02-303,01-02-303,,,Washington Street and 4th Street,Washington Street at 4th Street near the Ice Cream Parlor.,,"Moscow, Idaho",1970,1970,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Washington Street; Ice Cream Parlor; Ford Fairlane 800; Downtown; Idaho,Main Street,Washington Street,Ice Cream Parlor,Ford Fairlane 800,Downtown,Idaho,01-02-303.jpg,01-02-303,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-303.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-303_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-303_th.jpg
01-02-304,01-02-304,,,Hotel Moscow Stagecoach,"A Hotel Moscow stagecoach on muddy street pulled by two horse team with the wheels buried in the much, the coach ran between the hotel and the train depot.",,"Moscow, Idaho",1886,1886,1890,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Moscow Hotel; Horses; Wagon; Downtown; Idaho,Main Street,Hotel Moscow,Horses,Wagon,Downtown,Idaho,01-02-304.jpg,01-02-304,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-304.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-304_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-304_th.jpg
